author;city;district;street;underground
Группа Аквилон;Sankt-Peterburg;Petrogradskij;Lodejnopol'skaja;Chkalovskaja
Петербургская Недвижимость;Sankt-Peterburg;Nevskij;Nevskij;Lomonosovskaja
Озерки;Sankt-Peterburg;Moskovskij;Altajskaja;Moskovskaja
ТРЕНД;Sankt-Peterburg;Kalininskij;Finljandskij;Ploschad' Lenina
Невский простор;Sankt-Peterburg;Frunzenskij;Kupchino;Prospekt Slavy
СЕЗАН;Sankt-Peterburg;Kolpinskij;Very Slutskoj;Shushary
НАШ ГОРОД;Sankt-Peterburg;Primorskij;Verhne-Kamenskaja;Komendantskij prospekt
Кристалл;Sankt-Peterburg;Krasnogvardejskij;Kommuny;Prospekt Bol'shevikov
АУРУМ;Sankt-Peterburg;Nevskij;Narodnyj;Ulitsa Dybenko
Century 21 Гарант;Sankt-Peterburg;Krasnosel'skij;Katernikov;Avtovo
Балтрос;Sankt-Peterburg;Primorskij;Chernaja rechka;Chernaja rechka
Суслов недвижимость;Sankt-Peterburg;Krasnogvardejskij;Rzhevka;Ladozhskaja
НАШ ГОРОД;Sankt-Peterburg;Primorskij;Planernaja;Komendantskij prospekt
BE HOME;Sankt-Peterburg;Tsentral'nyj;Ligovka-Jamskaja;Ploschad' Vosstanija
A20;Sankt-Peterburg;Primorskij;Planernaja;Komendantskij prospekt
ТРЕНД;Sankt-Peterburg;Krasnogvardejskij;Bol'shaja Ohta;Novocherkasskaja
Наталья Лаврентьева;Sankt-Peterburg;Primorskij;Turistskaja;Komendantskij prospekt
ТРЕНД;Sankt-Peterburg;Krasnosel'skij;Teatral'naja;Prospekt Veteranov
Кристалл;Sankt-Peterburg;Moskovskij;Varshavskaja;Park Pobedy
ТРЕНД;Sankt-Peterburg;Frunzenskij;Juzhnoe shosse;Prospekt Slavy
ТРЕНД;Sankt-Peterburg;Krasnosel'skij;Gorelovo;Prospekt Veteranov
Большой Дом;Sankt-Peterburg;Vyborgskij;Valerija Gavrilina;Parnas
М16;Sankt-Peterburg;Primorskij;Primorskij prospekt;Staraja Derevnja
NEWдвижимость;Sankt-Peterburg;Krasnosel'skij;Marshala Kazakova;Avtovo
BE HOME;Sankt-Peterburg;Vasileostrovskij;Gavan';Vasileostrovskaja
ТРЕНД;Sankt-Peterburg;Moskovskij;Pulkovskij meridian;Moskovskaja
Свой Мир;Sankt-Peterburg;Vyborgskij;Svetlanovskoe;Ploschad' Muzhestva
Колвэй;Sankt-Peterburg;Vyborgskij;Kompozitorov;Prospekt Prosveschenija
ЦН КВАДРАТ;Sankt-Peterburg;Krasnosel'skij;Generala Kravchenko;Prospekt Veteranov
THE KEYS;Sankt-Peterburg;Vyborgskij;Manchesterskaja;Udel'naja
Бриз;Sankt-Peterburg;Primorskij;Jahtennaja;Begovaja
Кристалл;Sankt-Peterburg;Moskovskij;Varshavskaja;Park Pobedy
ЖИЛФОНД Санкт-Петербург;Sankt-Peterburg;Krasnogvardejskij;Poljustrovo;Ladozhskaja
Century 21 Гарант;Sankt-Peterburg;Krasnosel'skij;Juzhno-Primorskij;Leninskij prospekt
NEWдвижимость;Sankt-Peterburg;Pushkinskij;pereulok Vilerovskij;Kupchino
ТРЕНД;Sankt-Peterburg;Kalininskij;Akademicheskoe;Politehnicheskaja
Ольга Данилевская;Sankt-Peterburg;Krasnogvardejskij;Korneja Chukovskogo;Grazhdanskij prospekt
ТРЕНД;Sankt-Peterburg;Moskovskij;Srednerogatskaja;Zvezdnaja
Владис Центральный;Sankt-Peterburg;Vasileostrovskij;Nahimova;Primorskaja
ТРЕНД;Sankt-Peterburg;Kalininskij;Piskarevka;Ploschad' Muzhestva
ТРЕНД;Sankt-Peterburg;Krasnogvardejskij;Poljustrovo;Akademicheskaja
ТРЕНД;Sankt-Peterburg;Krasnosel'skij;Juzhno-Primorskij;Leninskij prospekt
М16;Sankt-Peterburg;Moskovskij;Lensoveta;Zvezdnaja
ТРЕНД;Sankt-Peterburg;Nevskij;Obuhovskij;Proletarskaja
ХочуКвартиру;Sankt-Peterburg;Krasnogvardejskij;Magnitogorskaja;Novocherkasskaja
Реал Лидер;Sankt-Peterburg;Kurortnyj;Tokareva;Begovaja
Владис Северо-Запад;Sankt-Peterburg;Krasnosel'skij;Partizana Germana;Prospekt Veteranov
THE KEYS;Sankt-Peterburg;Vasileostrovskij;Ural'skaja;Vasileostrovskaja
KARTES;Sankt-Peterburg;Vyborgskij;Zelenogorskaja;Pionerskaja
KARTES;Sankt-Peterburg;Primorskij;Juntolovo;Komendantskij prospekt
IVA;Sankt-Peterburg;Nevskij;prospekt Bol'shevikov;Ulitsa Dybenko
Этажи Санкт-Петербург;Sankt-Peterburg;Primorskij;Komendantskij aerodrom;Pionerskaja
СЕЗАН;Sankt-Peterburg;Admiraltejskij;Kolomna;Baltijskaja
ПЛОЩАДЬ;Sankt-Peterburg;Nevskij;Okkervil';Ulitsa Dybenko
Смарт Инновации;Sankt-Peterburg;Nevskij;Voroshilova;Prospekt Bol'shevikov
RBG Недвижимость  Realty Broker Group;Sankt-Peterburg;Primorskij;Kolomjagi;Komendantskij prospekt
Первое Агентство Недвижимости;Sankt-Peterburg;Primorskij;Kamyshovaja;Komendantskij prospekt
Иван Мальцев;Sankt-Peterburg;Nevskij;Slavjanskaja;Rybatskoe
ТРЕНД;Sankt-Peterburg;Kurortnyj;Gagarinskaja;Begovaja
